path,modality,study,status,transfer_syntax,width,height,components,bits_allocated,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
LocalDatasets/medical-dicom-organized/mr/study_004/instance_002312.dcm,mr,study_004,OK,1.2.840.10008.1.2,256,208,1,0,1,218926,38069,0.0909,0.0193,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_001652.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,555,512,1,0,1,572768,171951,0.1438,0.0379,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000502.dcm,mr,study_004,OK,1.2.840.10008.1.2,180,180,1,0,1,172324,9358,0.1013,0.0186,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_001476.dcm,mr,study_004,OK,1.2.840.10008.1.2,192,192,1,0,1,167450,22206,0.1556,0.0262,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_001477.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528846,165695,0.1503,0.0619,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_000100.dcm,mr,study_005,OK,1.2.840.10008.1.2,180,180,1,0,1,172194,12900,0.144,0.0738,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_001726.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528872,147608,0.1861,0.0743,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001567.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528868,152765,0.1805,0.0734,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003398.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528916,142942,0.1501,0.0834,
LocalDatasets/medical-dicom-organized/xa/study_005/instance_000057.dcm,xa,study_005,OK,1.2.840.10008.1.2,1024,1024,1,0,1,2132170,683792,0.407,0.1011,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_000766.dcm,mr,study_005,OK,1.2.840.10008.1.2,224,256,1,0,1,217860,67744,0.1772,0.0212,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_001898.dcm,mr,study_004,OK,1.2.840.10008.1.2,320,320,1,0,1,304872,61080,0.137,0.04,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_001543.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,535,512,1,0,1,552356,168222,0.1292,0.0553,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001149.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,529056,129952,0.1628,0.0438,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003495.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528898,148828,0.1797,0.0303,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001086.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528852,151100,0.1746,0.0542,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_000906.dcm,mr,study_005,OK,1.2.840.10008.1.2,174,192,1,0,1,160394,28126,0.1464,0.0153,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_001220.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528858,178881,0.1405,0.0334,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_006499.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,163025,0.1683,0.037,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_004026.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528936,154648,0.1563,0.0363,
